X;Y;NUMERO_REGISTRO;NOMBRE;DIRECCION;PISO;NUMERO_EXPEDIENTE;CAPACIDAD;CLASE;ESTADO;DISPOSICION;FECHA_DISP_INSCRIPCION;NUMERO_DIPS;FECHA_DISP_RE_INSCRIPCION;NUMERO_DISP_DE_RECHAZO;FECHA_DISPOSICION_DE_RECHAZO;NUMERO_DISPOSICION_DE_RECALCULO_CAPACIDAD;FECHA_DISPOSICION_DE_CAPACIDAD;FECHA_DE_ENTREGA_NUEVA_REVALIDA;VENCIMIENTO;ESTADO_OBESERVACIONES;NOTIFICADO;FECHA_ENVIO;FECHA_DE_NOTIFICACION
-58.47612039999999;-34.632300299999997;142;ECLIPTICO;RIVADAVIA AV. 7927; ;1327221/13;743;CC;RENOVADO 2017;75;23/05/2014;55;18/05/2017; ; ;75;23/05/2014;20/09/2017;15/12/2017; ; ; ; 
-58.41172300000000;-34.603834900000003;46;EL FOGON;AGUERO 512; ;13661/05;274;CC;BAJA INSC: DISP. NRO 94/12;49;23/03/2005;46;23/03/2012; ; ;55;23/03/2006; ; ; ; ; ; 
-58.4149393;-34.604022200000003;52;EL PICAFLOR;CORRIENTES AV. 3530; ;10580/05;662;C;RENOVADO 2017;56;04/05/2005;68;19/07/2017;69;04/05/2006;84;10/08/2007;27/07/2017;27/10/2017; ; ; ; 
-58.37767920000000;-34.604693099999999;61;EL TEATRITO;SARMIENTO 777; ;24459/05;538;C;BAJA INSC: DISP. CONJUNTA 92/2010;74;17/06/2005;105;19/11/2009; ; ;127;17/11/2006; ; ; ; ; ; 
-58.43614639999999;-34.586122799999998;73;ESPERANTO;JUSTO, JUAN B. AV. 1625; ;86918/05;572;CC;INSCRIPCION VENCIDA;59;03/04/2006;50;01/04/2016; ; ;8;22/01/2010;23/03/2016;28/06/2016;INSCRIPCION VENCIDA; ; ; 
-58.47023759999999;-34.630760899999999;19;EVELYN;RIVADAVIA AV. 7425; ;10578/05;452;CC;RENOVADO 2017;22;10/03/2005;30;10/03/2017; ; ;135;29/09/2005;15/09/2017;15/12/2017; ; ; ; 
-58.41534750000000;-34.610723999999998;48;FANTASTICO;RIVADAVIA AV. 3469; ;10660/05;1270;C;RENOVADO 2017;51;01/04/2005;21;24/02/2017;10;14/02/2006;160;22/12/2005;26/09/2017;22/10/2017; ; ; ; 
-58.44302239999999;-34.581492400000002;135;FRIDA;DORREGO 1735; ;2127478/12;187;CC;RENOVADO 2017;131;18/10/2012;67;19/07/2017; ; ;131;18/10/2012;29/09/2017;28/12/2017; ; ; ; 
-58.37070779999999;-34.614905800000003;138;FRODO´S;BALCARCE 605; ;2296777/12;425;C;RENOVADO 2017;1;02/01/2013;2;13/01/2017; ; ;1;02/01/2013;04/05/2017;03/08/2017; ; ; ; 
-58.40954359999999;-34.597006100000002;23;GLAM;CABRERA, JOSE A. 3046; ;10634/05;489;CC;RENOVADO 2017;26;11/03/2005;60;15/06/2017; ; ;60;10/05/2007;27/09/2017;17/11/2017; ; ; ; 
-58.3785022;-34.596003899999999;2;GOLDEN;ESMERALDA 1040; ;10561/05;408;CC;SUSPENDIDO DISFC-2016-77-DGFYC;3;24/02/2005;45;23/03/2016; ; ;98;08/08/2005;05/04/2016;27/05/2016;SUSPENDIDO; ; ; 
